model,corpus,theta,gamma,R2,ci_lo,ci_hi,dR2_pow_exp,source
deepseek-ai/deepseek-coder-6.7b-base,mongo,100000,0.9512,0.9957,0.8648,1.0003,0.1795,e4_gamma
mistralai/Mistral-7B-Instruct-v0.3,mongo,1000000,0.9519,0.9934,0.85,1.0253,0.2122,e4_gamma
Qwen/Qwen2.5-3B,random,1000000,0.9644,0.9789,0.8067,1.1105,0.2209,e4_gamma
HuggingFaceTB/SmolLM2-360M,mongo,100000,0.9692,0.9981,0.9317,1.0045,0.2013,e4_gamma
01-ai/Yi-6B,random,5000000.0,0.9917,0.9871,0.841,1.1088,0.1658,e4_gamma
bigcode/starcoder2-3b,mongo,1000000,0.9942,0.9938,0.9139,1.0603,0.1738,e4_gamma
01-ai/Yi-9B,random,5000000.0,0.9949,0.9872,0.8472,1.1162,0.1419,e4_gamma
Qwen/Qwen2.5-7B,mongo,1000000,0.9967,0.9939,0.916,1.0589,0.2137,e4_gamma
Qwen/Qwen2.5-7B,mongo,1000000,0.9967,0.9939,,,,master
EleutherAI/pythia-14m,random,10000.0,1.0037,0.9777,0.8529,1.1838,0.2025,e4_gamma
EleutherAI/pythia-14m,random,10000,1.0037,0.9777,,,,master
gpt2-xl,mongo,,1.0097,0.981,0.8032,1.2458,0.0337,e4_gamma
EleutherAI/pythia-160m,random,10000,1.0171,0.9817,0.8278,1.1606,0.1052,e4_gamma
EleutherAI/pythia-160m,random,10000,1.0171,0.9817,,,,master
EleutherAI/pythia-410m,mongo,10000,1.0219,0.9816,0.8463,1.1561,0.1034,e4_gamma
EleutherAI/pythia-410m,mongo,10000,1.0219,0.9816,,,,master
gpt2,mongo,,1.0231,0.9551,0.6809,1.3703,-0.0063,e4_gamma
gpt2-xl,random,,1.0241,0.989,0.8593,1.1982,0.0574,e4_gamma
Qwen/Qwen2.5-0.5B,mongo,1000000,1.0284,0.9968,0.9718,1.0943,0.2593,e4_gamma
Qwen/Qwen2.5-1.5B,mongo,1000000.0,1.0345,0.996,0.9826,1.1151,0.2381,e4_gamma
microsoft/phi-3-mini-4k-instruct,random,10000.0,1.0366,0.9779,0.7713,1.2525,0.1129,e4_gamma
microsoft/phi-2,mongo,10000,1.0447,0.98,0.8542,1.2025,0.1545,e4_gamma
meta-llama/Meta-Llama-3-8B,mongo,500000,1.0455,0.9975,1.018,1.1071,0.2404,e4_gamma
meta-llama/Meta-Llama-3-8B,mongo,500000,1.0455,0.9975,,,,master
gpt2,random,,1.0515,0.9079,0.5317,1.4584,-0.0383,e4_gamma
mistralai/Mistral-7B-v0.1,mongo,10000,1.0608,0.9987,1.0287,1.088,0.2041,e4_gamma
mistralai/Mistral-7B-v0.1,mongo,10000,1.0608,0.9987,,,,master
google/gemma-2-9b-it,random,10000,1.1348,0.9765,0.9245,1.3316,0.0949,e4_gamma
google/gemma-2-9b-it,random,10000,1.1348,0.9765,,,,master
EleutherAI/pythia-70m,random,10000,1.1705,0.9941,1.0656,1.2689,0.1954,e4_gamma
bigscience/bloom-7b1,mongo,,1.2178,0.9973,1.182,1.2955,0.2443,e4_gamma
EleutherAI/pythia-31m,mongo,10000,1.235,0.9737,1.0143,1.3931,0.0968,e4_gamma
EleutherAI/pythia-31m,mongo,10000,1.235,0.9737,,,,master
EleutherAI/pythia-31m,random,10000,1.5398,0.9643,1.1197,1.7694,0.094,e4_gamma
